id,order,expected_json
10,Hit me with three bacon gouda sandwich.,"{""items"": [{""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 3, ""modifiers"": []}], ""total_price"": 16.5}"
11,"Grab me double tall Caramel Macchiato add caramel syrup actually make sure there's hold the ICE. Oh, and add couple of Bacon Gouda Sandwich - remove that. Oh, and add three Venti earl grey tea include almond milk... actually nevermind almond milk... sugar free vanilla include extra hot, remove that extra hot. classic syrup. Also couple literally of AVOCADO TOAST.","{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Caramel Syrup"", ""No Ice""]}, {""name"": ""Earl Grey Tea"", ""size"": ""Venti"", ""quantity"": 3, ""modifiers"": [""Sugar Free Vanilla"", ""Classic Syrup""]}, {""name"": ""Avocado Toast"", ""size"": null, ""quantity"": 2, ""modifiers"": []}], ""total_price"": 39.0}"
12,Lemme get a Trenta espresso include like Cold Foam.,"{""items"": [{""name"": ""Espresso"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": [""Cold Foam""]}], ""total_price"": 5.75}"
13,"I'm craving a short green tea and oat milk. scratch that one, and also three Tall cappuccino with hazelnut syrup add classic syrup. Next, I need triple Venti like Frappe (Mocha)s.","{""items"": [{""name"": ""Cappuccino"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": [""Hazelnut Syrup"", ""Classic Syrup""]}, {""name"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 35.25}"
14,"Could you get me three SHORT FRAPPE (COFFEE) and hold um the ice, and also one literally tall mocha and two tall Mochas include breve.","{""items"": [{""name"": ""Frappe (Coffee)"", ""size"": ""Short"", ""quantity"": 3, ""modifiers"": [""No Ice""]}, {""name"": ""Mocha"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Mocha"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Breve""]}], ""total_price"": 31.6}"
15,"Hook me up with three venti frappe (mocha) plus Soy Milk plus classic syrup, and also double grande Green Teas include peppermint syrup... wait, change that to three.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""quantity"": 3, ""modifiers"": [""Soy Milk"", ""Classic Syrup""]}, {""name"": ""Green Tea"", ""size"": ""Grande"", ""quantity"": 3, ""modifiers"": [""Peppermint Syrup""]}], ""total_price"": 34.05}"
16,"May I get a few trenta strawberry smoothies with extra hot, scratch that one.","{""items"": [], ""total_price"": 0.0}"
17,"Let's do double grande hot chocolates add Caramel Syrup wait actually nevermind Caramel Syrup like - soy milk. Oh, and add a VENTI Latte add extra shot literally wait actually nevermind extra shot - Classic Syrup. Also a few you know, short MATCHA LATTE.","{""items"": [{""name"": ""Hot Chocolate"", ""size"": ""Grande"", ""quantity"": 2, ""modifiers"": [""Soy Milk""]}, {""name"": ""Latte"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": [""Classic Syrup""]}, {""name"": ""Matcha Latte"", ""size"": ""Short"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 29.95}"
18,"I'm feeling like a Short Mocha plus Coconut Milk plus a uh grande drip coffee - scratch that one. Next, I need single tall green tea add actually ALMOND MILK add peppermint syrup.","{""items"": [{""name"": ""Mocha"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": [""Coconut Milk""]}, {""name"": ""Green Tea"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Almond Milk"", ""Peppermint Syrup""]}], ""total_price"": 9.3}"
19,"Could I have triple uh trenta caramel macchiato, and also a venti earl you know, grey tea. Oh, and add five tall earl grey teas and sugar free vanilla and extra shot plus breve, plus four literally Trenta green tea - wait, change that to a few.","{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Tall"", ""quantity"": 5, ""modifiers"": [""Sugar Free Vanilla"", ""Extra Shot"", ""Breve""]}, {""name"": ""Green Tea"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 64.25}"
20,"May I get three you know, short Drip Coffee and two trenta flat whites.","{""items"": [{""name"": ""Drip Coffee"", ""size"": ""Short"", ""quantity"": 3, ""modifiers"": []}, {""name"": ""Flat White"", ""size"": ""Trenta"", ""quantity"": 2, ""modifiers"": []}], ""total_price"": 18.5}"
21,Could you get me a tall drip coffee.,"{""items"": [{""name"": ""Drip Coffee"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 2.5}"
22,"I'd like to order three Grande ICED COFFEEs include almond milk wait scratch that one almond milk... peppermint syrup, paired with a trenta like MOCHA... bump that to four, coupled with double Short Earl Grey Teas plus two tall Flat Whites and hold the ice wait remove that hold the ice... skim milk include caramel drizzle.","{""items"": [{""name"": ""Iced Coffee"", ""size"": ""Grande"", ""quantity"": 3, ""modifiers"": [""Peppermint Syrup""]}, {""name"": ""Mocha"", ""size"": ""Trenta"", ""quantity"": 4, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Flat White"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Skim Milk"", ""Caramel Drizzle""]}], ""total_price"": 53.5}"
23,"Gimme four short actually hot chocolates include skim milk and one short cappuccino, coupled with four tall chai lattes - scratch that one.","{""items"": [{""name"": ""Hot Chocolate"", ""size"": ""Short"", ""quantity"": 4, ""modifiers"": [""Skim Milk""]}, {""name"": ""Cappuccino"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 18.0}"
24,"Let me get one short frappe (mocha), make sure no ice.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": [""No Ice""]}], ""total_price"": 5.25}"
25,"Could I have a tall cold brew and um hold the ice, paired with five grande matcha latte include sugar free vanilla... actually make that four.","{""items"": [{""name"": ""Cold Brew"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""No Ice""]}, {""name"": ""Matcha Latte"", ""size"": ""Grande"", ""quantity"": 4, ""modifiers"": [""Sugar Free Vanilla""]}], ""total_price"": 29.25}"
26,"Hook me up with two literally grande frappe (mocha) with Classic Syrup - wait cancel that Classic Syrup, caramel syrup, coupled with four short chai latte add skim milk.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Grande"", ""quantity"": 2, ""modifiers"": [""Caramel Syrup""]}, {""name"": ""Chai Latte"", ""size"": ""Short"", ""quantity"": 4, ""modifiers"": [""Skim Milk""]}], ""total_price"": 30.5}"
27,"Could I have two actually tall mochas. Oh, and add a bacon gouda sandwich. Then give me a venti Drip Coffee plus light ice. Next, I need five trenta Flat Whites with classic syrup add uh whip cream.","{""items"": [{""name"": ""Mocha"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 1, ""modifiers"": []}, {""name"": ""Drip Coffee"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": [""Light Ice""]}, {""name"": ""Flat White"", ""size"": ""Trenta"", ""quantity"": 5, ""modifiers"": [""Classic Syrup"", ""Whip Cream""]}], ""total_price"": 52.75}"
28,"I'm craving a tall frappe (mocha)... bump that to five plus a you know, trenta hot chocolate. Oh, and add a tall earl grey tea - remove that. Also double tall literally matcha lattes.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Tall"", ""quantity"": 5, ""modifiers"": []}, {""name"": ""Hot Chocolate"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Matcha Latte"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}], ""total_price"": 44.75}"
29,"I'll have three bagel you know, - scratch that one, and also one short caramel macchiato actually add extra shot add Sugar Free Vanilla, paired with triple uh grande espresso, and also pair of Grande iced coffees and soy milk add whip cream, like wait cancel that whip cream - coconut milk.","{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": [""Extra Shot"", ""Sugar Free Vanilla""]}, {""name"": ""Espresso"", ""size"": ""Grande"", ""quantity"": 3, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Grande"", ""quantity"": 2, ""modifiers"": [""Soy Milk"", ""Coconut Milk""]}], ""total_price"": 26.35}"
30,"Can I get a Tall Caramel Macchiato include peppermint uh syrup add Caramel Drizzle... actually nevermind Caramel Drizzle... skim milk, coupled with three Grande hot chocolates and sugar free vanilla - wait, change that to um four, coupled with a bacon gouda sandwich, coupled with one short cappuccino add classic syrup - like wait cancel that.","{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Peppermint Syrup"", ""Skim Milk""]}, {""name"": ""Hot Chocolate"", ""size"": ""Grande"", ""quantity"": 4, ""modifiers"": [""Sugar Free Vanilla""]}, {""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 1, ""modifiers"": []}], ""total_price"": 31.25}"
31,"Hook me up with triple TRENTA hot um chocolates. Oh, and add a Blueberry Muffin... actually make that double. Also a few TALL Hot Chocolate plus hazelnut syrup include extra shot.","{""items"": [{""name"": ""Hot Chocolate"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": []}, {""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 2, ""modifiers"": []}, {""name"": ""Hot Chocolate"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": [""Hazelnut Syrup"", ""Extra Shot""]}], ""total_price"": 40.5}"
32,"Gimme five tall cappuccinos, plus a tall drip coffee include Caramel Drizzle, paired with double trenta frappe (coffee) plus almond milk... remove that almond milk... uh classic syrup, and also one Blueberry Muffin.","{""items"": [{""name"": ""Cappuccino"", ""size"": ""Tall"", ""quantity"": 5, ""modifiers"": []}, {""name"": ""Drip Coffee"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Caramel Drizzle""]}, {""name"": ""Frappe (Coffee)"", ""size"": ""Trenta"", ""quantity"": 2, ""modifiers"": [""Classic Syrup""]}, {""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 1, ""modifiers"": []}], ""total_price"": 43.25}"
33,I'd like to order pair actually of tall chai lattes.,"{""items"": [{""name"": ""Chai Latte"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}], ""total_price"": 9.5}"
34,"Grab me pair of Bacon Gouda Sandwichs, coupled with two tall Iced Coffees but ensure No Ice wait wait, change that to three, coupled with four um Blueberry Muffins and one trenta you know, americano.","{""items"": [{""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 2, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": [""No Ice""]}, {""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 4, ""modifiers"": []}, {""name"": ""Americano"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 40.0}"
35,"I'll have a trenta actually caramel macchiato. Next, I need single like TRENTA iced coffee. Then give me one short iced coffee with hazelnut syrup include coconut milk - scratch that one coconut milk... LIGHT ICE and EXTRA HOT.","{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": [""Hazelnut Syrup"", ""Light Ice"", ""Extra Hot""]}], ""total_price"": 14.25}"
36,Hook me up with triple bagels.,"{""items"": [{""name"": ""Bagel"", ""size"": null, ""quantity"": 3, ""modifiers"": []}], ""total_price"": 7.5}"
37,"Let me get one short strawberry smoothie include skim milk. actually make that two. actually nevermind. Then give me four literally grande frappe (mocha) plus a Venti cold brew with breve and whip cream and skim milk - wait cancel that skim milk... Coconut Milk - scratch that one plus four Blueberry Muffin wait no, make it one.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Grande"", ""quantity"": 4, ""modifiers"": []}, {""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 1, ""modifiers"": []}], ""total_price"": 28.75}"
38,"May I get single literally tall FRAPPE (COFFEE) include skim milk and make sure No Ice. Oh, and add a Grande caramel macchiato include vanilla syrup add like classic syrup and Peppermint Syrup... remove that.","{""items"": [{""name"": ""Frappe (Coffee)"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Skim Milk"", ""No Ice""]}], ""total_price"": 5.5}"
39,"Let me get a few blueberry muffins - remove uh that, plus five grande strawberry smoothie and almond milk actually plus coconut milk add peppermint syrup wait remove that peppermint syrup - vanilla syrup.","{""items"": [{""name"": ""Strawberry Smoothie"", ""size"": ""Grande"", ""quantity"": 5, ""modifiers"": [""Almond Milk"", ""Coconut Milk"", ""Vanilla Syrup""]}], ""total_price"": 41.5}"
40,"Could I have triple Short Hot Chocolate, coupled with four grande cappuccino include soy milk plus Almond like Milk - wait, change that to triple, and also four blueberry muffin.","{""items"": [{""name"": ""Hot Chocolate"", ""size"": ""Short"", ""quantity"": 3, ""modifiers"": []}, {""name"": ""Cappuccino"", ""size"": ""Grande"", ""quantity"": 3, ""modifiers"": [""Soy Milk"", ""Almond Milk""]}, {""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 4, ""modifiers"": []}], ""total_price"": 44.1}"
41,"Let's do a few short mochas plus oat milk. Then give me pair of VENTI frappe (mocha)s. Next, I need single tall Cold Brew include caramel drizzle plus you know, soy milk and sugar free vanilla, no, make it double and couple of tall um espresso plus make sure no whip wait scratch that one make sure no whip - peppermint syrup.","{""items"": [{""name"": ""Mocha"", ""size"": ""Short"", ""quantity"": 3, ""modifiers"": [""Oat Milk""]}, {""name"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Cold Brew"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Caramel Drizzle"", ""Soy Milk"", ""Sugar Free Vanilla""]}, {""name"": ""Espresso"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Peppermint Syrup""]}], ""total_price"": 48.1}"
42,"Let's do triple butter croissants plus a few trenta iced coffee and extra hot plus a tall iced coffee with ensure no whip... wait cancel that ensure no whip, Extra Shot.","{""items"": [{""name"": ""Butter Croissant"", ""size"": null, ""quantity"": 3, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": [""Extra Hot""]}, {""name"": ""Iced Coffee"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Extra Shot""]}], ""total_price"": 28.0}"
43,Lemme get pair of Bacon Gouda Sandwichs.,"{""items"": [{""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 2, ""modifiers"": []}], ""total_price"": 11.0}"
44,"I'll have a short Cold Brew, paired with a Tall Iced Coffee plus ALMOND MILK include peppermint syrup... remove that peppermint syrup, hazelnut syrup, actually wait, change that to triple.","{""items"": [{""name"": ""Cold Brew"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": [""Almond Milk"", ""Hazelnut Syrup""]}], ""total_price"": 16.05}"
45,May I get four venti Mochas wait actually make that two and five tall frappe (mocha)s.,"{""items"": [{""name"": ""Mocha"", ""size"": ""Venti"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Frappe (Mocha)"", ""size"": ""Tall"", ""quantity"": 5, ""modifiers"": []}], ""total_price"": 40.75}"
46,"I'm craving double Blueberry Muffins, coupled with a Trenta cold brew plus vanilla syrup with breve.","{""items"": [{""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 2, ""modifiers"": []}, {""name"": ""Cold Brew"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": [""Vanilla Syrup"", ""Breve""]}], ""total_price"": 14.55}"
47,"Hook me up with couple of Grande Strawberry Smoothie plus four Trenta you know, EARL GREY TEAs, coupled with double VENTI earl grey tea plus cold foam add classic syrup and four short CHAI LATTEs.","{""items"": [{""name"": ""Strawberry Smoothie"", ""size"": ""Grande"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Trenta"", ""quantity"": 4, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Venti"", ""quantity"": 2, ""modifiers"": [""Cold Foam"", ""Classic Syrup""]}, {""name"": ""Chai Latte"", ""size"": ""Short"", ""quantity"": 4, ""modifiers"": []}], ""total_price"": 58.5}"
48,May I get four tall Mocha.,"{""items"": [{""name"": ""Mocha"", ""size"": ""Tall"", ""quantity"": 4, ""modifiers"": []}], ""total_price"": 20.0}"
49,I'd like to order a TALL latte plus one Grande Flat White and WHIP CREAM - scratch that one WHIP CREAM. vanilla syrup.,"{""items"": [{""name"": ""Latte"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Flat White"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": [""Vanilla Syrup""]}], ""total_price"": 10.25}"
50,Hook me up with four venti caramel macchiatos but make sure no whip plus peppermint syrup.,"{""items"": [{""name"": ""Caramel Macchiato"", ""size"": ""Venti"", ""quantity"": 4, ""modifiers"": [""No Whip"", ""Peppermint Syrup""]}], ""total_price"": 27.0}"
51,"I'd like to order one grande Flat White, plus single TRENTA EARL GREY TEA.","{""items"": [{""name"": ""Flat White"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 9.75}"
52,Start me off with a few grande caramel macchiatos. wait cancel that.,"{""items"": [], ""total_price"": 0.0}"
53,"Grab me a venti literally MOCHA plus peppermint syrup and almond milk plus Whip Cream. Then give me single TALL Espresso, make sure no ice and SOY MILK... wait cancel that SOY MILK... classic syrup actually and almond milk. Next, I need double grande americanos include like coconut milk with classic syrup... scratch that one classic syrup - breve.","{""items"": [{""name"": ""Mocha"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": [""Peppermint Syrup"", ""Almond Milk"", ""Whip Cream""]}, {""name"": ""Espresso"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""No Ice"", ""Classic Syrup"", ""Almond Milk""]}, {""name"": ""Americano"", ""size"": ""Grande"", ""quantity"": 2, ""modifiers"": [""Coconut Milk"", ""Breve""]}], ""total_price"": 22.2}"
54,"Start me off with pair of blueberry muffins - wait, change that to three. scratch that one plus a few trenta strawberry smoothie.","{""items"": [{""name"": ""Strawberry Smoothie"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 22.5}"
55,"Gimme a you know, grande Cappuccino plus triple tall strawberry smoothie with actually hazelnut syrup. Also a few actually tall cappuccinos.","{""items"": [{""name"": ""Cappuccino"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Strawberry Smoothie"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": [""Hazelnut Syrup""]}, {""name"": ""Cappuccino"", ""size"": ""Tall"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 38.0}"
56,"Hit me with single um short latte, and also couple of short Green Teas. Oh, and add a grande hot chocolate with coconut milk add light ice.","{""items"": [{""name"": ""Latte"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Green Tea"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Hot Chocolate"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": [""Coconut Milk"", ""Light Ice""]}], ""total_price"": 14.2}"
57,Hit me with four bacon gouda sandwichs - wait cancel that.,"{""items"": [], ""total_price"": 0.0}"
58,"Start me off with pair like of avocado toast and one bacon gouda sandwich and double Short iced coffee, and also triple grande hot chocolate.","{""items"": [{""name"": ""Avocado Toast"", ""size"": null, ""quantity"": 2, ""modifiers"": []}, {""name"": ""Bacon Gouda Sandwich"", ""size"": null, ""quantity"": 1, ""modifiers"": []}, {""name"": ""Iced Coffee"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Hot Chocolate"", ""size"": ""Grande"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 38.0}"
59,I'm feeling like a trenta like cappuccino.,"{""items"": [{""name"": ""Cappuccino"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 6.0}"
60,"Let me get four tall Drip Coffees with Classic Syrup include peppermint syrup. remove that peppermint syrup - hazelnut syrup, coupled with five tall hot chocolates and COCONUT MILK with Cold Foam... remove that Cold Foam. classic syrup, coupled with a like SHORT Hot Chocolate and pair of venti um Flat Whites include light ice. actually nevermind light ice... extra shot.","{""items"": [{""name"": ""Drip Coffee"", ""size"": ""Tall"", ""quantity"": 4, ""modifiers"": [""Classic Syrup"", ""Hazelnut Syrup""]}, {""name"": ""Hot Chocolate"", ""size"": ""Tall"", ""quantity"": 5, ""modifiers"": [""Coconut Milk"", ""Classic Syrup""]}, {""name"": ""Hot Chocolate"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Flat White"", ""size"": ""Venti"", ""quantity"": 2, ""modifiers"": [""Extra Shot""]}], ""total_price"": 52.5}"
61,Could you get me one grande STRAWBERRY uh SMOOTHIE add classic syrup with VANILLA SYRUP. Also couple of Short FRAPPE (COFFEE)s and no ice plus cold foam.,"{""items"": [{""name"": ""Strawberry Smoothie"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": [""Classic Syrup"", ""Vanilla Syrup""]}, {""name"": ""Frappe (Coffee)"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": [""No Ice"", ""Cold Foam""]}], ""total_price"": 19.5}"
62,Let me get double Tall frappe literally (mocha). Also a TALL drip coffee plus caramel syrup with sugar free vanilla include coconut milk.,"{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Drip Coffee"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Caramel Syrup"", ""Sugar Free Vanilla"", ""Coconut Milk""]}], ""total_price"": 15.7}"
63,"I'd like to order single tall flat literally white and HAZELNUT SYRUP - actually nevermind. Oh, and add single blueberry muffin.","{""items"": [{""name"": ""Blueberry Muffin"", ""size"": null, ""quantity"": 1, ""modifiers"": []}], ""total_price"": 3.75}"
64,"I'm feeling like double bagels, coupled with pair of short HOT CHOCOLATE add classic syrup, plus single bagel, paired with triple Tall cold brews - no, make it double.","{""items"": [{""name"": ""Bagel"", ""size"": null, ""quantity"": 3, ""modifiers"": []}, {""name"": ""Hot Chocolate"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": [""Classic Syrup""]}, {""name"": ""Cold Brew"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}], ""total_price"": 23.0}"
65,"Gimme four grande mocha and Light Ice but make sure no ice and literally oat milk. Oh, and add one trenta cappuccino.","{""items"": [{""name"": ""Mocha"", ""size"": ""Grande"", ""quantity"": 4, ""modifiers"": [""Light Ice"", ""No Ice"", ""Oat Milk""]}, {""name"": ""Cappuccino"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 31.2}"
66,"I'll take a Grande AMERICANO plus coconut you know, milk.","{""items"": [{""name"": ""Americano"", ""size"": ""Grande"", ""quantity"": 1, ""modifiers"": [""Coconut Milk""]}], ""total_price"": 4.7}"
